algo,n,m,density,rep,k,alpha,n_spanner_edges,sparseness,lightness,eff_stretch,runtime_s,peak_mem_kb
Greedy,10,9,0.1,0,2,3,9,0.9,1.0,1.0,0.0003,6.75
Greedy,10,9,0.1,0,3,5,9,0.9,1.0,1.0,0.0003,6.6
Greedy,10,10,0.1,1,2,3,9,0.9,1.0,1.1,0.0002,6.88
Greedy,10,10,0.1,1,3,5,9,0.9,1.0,1.1,0.0002,6.73
Greedy,10,9,0.1,2,2,3,9,0.9,1.0,1.0,0.0002,6.69
Greedy,10,9,0.1,2,3,5,9,0.9,1.0,1.0,0.0002,6.54
Greedy,10,16,0.3,0,2,3,9,0.9,1.0,1.6,0.0003,7.1
Greedy,10,16,0.3,0,3,5,9,0.9,1.0,1.6,0.0003,6.89
Greedy,10,13,0.3,1,2,3,9,0.9,1.0,2.8571,0.0002,7.03
Greedy,10,13,0.3,1,3,5,9,0.9,1.0,2.8571,0.0002,6.88
Greedy,10,13,0.3,2,2,3,9,0.9,1.0,2.1429,0.0003,6.71
Greedy,10,13,0.3,2,3,5,9,0.9,1.0,2.1429,0.0003,6.56
Greedy,10,26,0.5,0,2,3,9,0.9,1.0,1.8,0.0006,7.82
Greedy,10,26,0.5,0,3,5,9,0.9,1.0,1.8,0.0007,6.92
Greedy,10,28,0.5,1,2,3,9,0.9,1.0,1.8,0.0007,7.09
Greedy,10,28,0.5,1,3,5,9,0.9,1.0,1.8,0.0006,6.88
Greedy,10,24,0.5,2,2,3,9,0.9,1.0,2.5,0.0005,7.02
Greedy,10,24,0.5,2,3,5,9,0.9,1.0,2.5,0.0004,6.88
Greedy,20,22,0.1,0,2,3,19,0.95,1.0,2.3333,0.0015,12.47
Greedy,20,22,0.1,0,3,5,19,0.95,1.0,2.3333,0.0006,12.33
Greedy,20,23,0.1,1,2,3,19,0.95,1.0,2.3333,0.0006,12.67
Greedy,20,23,0.1,1,3,5,19,0.95,1.0,2.3333,0.0006,12.53
Greedy,20,24,0.1,2,2,3,21,1.05,1.1606,2.1333,0.001,13.21
Greedy,20,24,0.1,2,3,5,20,1.0,1.0933,4.3846,0.0007,12.66
Greedy,20,65,0.3,0,2,3,19,0.95,1.0,3.0,0.002,15.84
Greedy,20,65,0.3,0,3,5,19,0.95,1.0,3.0,0.0023,13.07
Greedy,20,52,0.3,1,2,3,21,1.05,1.1667,2.7143,0.0015,13.43
Greedy,20,52,0.3,1,3,5,19,0.95,1.0,4.1429,0.0014,12.93
Greedy,20,50,0.3,2,2,3,21,1.05,1.1341,2.4118,0.0014,13.41
Greedy,20,50,0.3,2,3,5,19,0.95,1.0,5.0,0.0013,12.91
Greedy,20,103,0.5,0,2,3,22,1.1,1.32,2.6667,0.0031,16.42
Greedy,20,103,0.5,0,3,5,20,1.0,1.1,4.0,0.003,13.52
Greedy,20,94,0.5,1,2,3,20,1.0,1.0769,2.2,0.0033,13.58
Greedy,20,94,0.5,1,3,5,19,0.95,1.0,4.75,0.0024,13.26
Greedy,20,90,0.5,2,2,3,20,1.0,1.1154,2.6,0.0026,13.58
Greedy,20,90,0.5,2,3,5,19,0.95,1.0,3.1667,0.0026,13.23
Greedy,50,105,0.1,0,2,3,56,1.12,1.2947,2.9524,0.0059,36.53
Greedy,50,105,0.1,0,3,5,50,1.0,1.0461,3.9259,0.005,34.69
Greedy,50,119,0.1,1,2,3,58,1.16,1.2845,2.7742,0.0067,37.04
Greedy,50,119,0.1,1,3,5,51,1.02,1.0592,4.3913,0.0055,34.48
Greedy,50,124,0.1,2,2,3,55,1.1,1.1785,2.9268,0.0055,35.77
Greedy,50,124,0.1,2,3,5,50,1.0,1.0272,4.8,0.0056,34.67
Greedy,50,356,0.3,0,2,3,53,1.06,1.1485,3.0,0.0245,51.7
Greedy,50,356,0.3,0,3,5,49,0.98,1.0,3.5,0.0205,36.43
Greedy,50,361,0.3,1,2,3,62,1.24,1.4476,3.0,0.0244,39.52
Greedy,50,361,0.3,1,3,5,52,1.04,1.0905,4.7143,0.0201,36.95
Greedy,50,359,0.3,2,2,3,59,1.18,1.3318,3.0,0.0207,38.34
Greedy,50,359,0.3,2,3,5,51,1.02,1.0467,4.625,0.0202,36.73
Greedy,50,574,0.5,0,2,3,57,1.14,1.2848,3.0,0.0416,52.8
Greedy,50,574,0.5,0,3,5,51,1.02,1.0696,4.8,0.0325,38.4
Greedy,50,597,0.5,1,2,3,59,1.18,1.3373,3.0,0.0503,41.63
Greedy,50,597,0.5,1,3,5,50,1.0,1.0296,4.8571,0.0342,38.38
Greedy,50,662,0.5,2,2,3,58,1.16,1.3386,3.0,0.0474,45.11
Greedy,50,662,0.5,2,3,5,49,0.98,1.0,5.0,0.0369,38.85
Greedy,100,527,0.1,0,2,3,121,1.21,1.332,2.9643,0.053,75.83
Greedy,100,527,0.1,0,3,5,106,1.06,1.0874,4.9545,0.0497,72.74
Greedy,100,496,0.1,1,2,3,121,1.21,1.454,3.0,0.0513,75.39
Greedy,100,496,0.1,1,3,5,105,1.05,1.1076,5.0,0.052,72.19
Greedy,100,493,0.1,2,2,3,113,1.13,1.2583,3.0,0.0489,74.03
Greedy,100,493,0.1,2,3,5,101,1.01,1.0188,4.8649,0.045,71.67
Greedy,100,1503,0.3,0,2,3,124,1.24,1.4273,3.0,0.2255,137.12
Greedy,100,1503,0.3,0,3,5,105,1.05,1.0808,5.0,0.1585,80.06
Greedy,100,1447,0.3,1,2,3,116,1.16,1.3264,3.0,0.1681,81.8
Greedy,100,1447,0.3,1,3,5,102,1.02,1.052,4.2727,0.1612,79.09
Greedy,100,1555,0.3,2,2,3,120,1.2,1.3617,3.0,0.2138,86.49
Greedy,100,1555,0.3,2,3,5,101,1.01,1.0194,5.0,0.1663,79.84
Greedy,100,2532,0.5,0,2,3,128,1.28,1.5452,3.0,0.3497,153.87
Greedy,100,2532,0.5,0,3,5,103,1.03,1.0569,5.0,0.3649,122.89
Greedy,100,2482,0.5,1,2,3,128,1.28,1.5311,3.0,0.3658,124.98
Greedy,100,2482,0.5,1,3,5,104,1.04,1.0806,5.0,0.3556,119.62
Greedy,100,2500,0.5,2,2,3,130,1.3,1.484,3.0,0.3687,127.29
Greedy,100,2500,0.5,2,3,5,106,1.06,1.0962,5.0,0.3394,121.9
Greedy,200,1986,0.1,0,2,3,251,1.255,1.4683,2.6889,0.4975,163.54
Greedy,200,1986,0.1,0,3,5,213,1.065,1.099,3.2759,0.4652,154.41
Greedy,200,1970,0.1,1,2,3,256,1.28,1.588,2.5217,0.4647,163.59
Greedy,200,1970,0.1,1,3,5,214,1.07,1.1359,3.6316,0.423,153.78
Greedy,200,2071,0.1,2,2,3,257,1.285,1.518,2.9524,0.5292,170.29
Greedy,200,2071,0.1,2,3,5,213,1.065,1.1071,4.5556,0.5028,160.4
Greedy,200,5772,0.3,0,2,3,279,1.395,1.7813,2.6923,1.9966,560.73
Greedy,200,5772,0.3,0,3,5,222,1.11,1.1896,4.5714,1.5887,422.55
Greedy,200,5959,0.3,1,2,3,258,1.29,1.5674,3.0,1.6697,444.25
Greedy,200,5959,0.3,1,3,5,215,1.075,1.1187,4.25,1.5897,434.6
Greedy,200,5997,0.3,2,2,3,264,1.32,1.6101,2.6,1.7304,447.88
Greedy,200,5997,0.3,2,3,5,218,1.09,1.1399,4.2857,1.7066,437.84
Greedy,200,10024,0.5,0,2,3,259,1.295,1.5289,2.6,2.9561,780.02
Greedy,200,10024,0.5,0,3,5,219,1.095,1.1438,3.5,2.748,779.88
Greedy,200,9882,0.5,1,2,3,259,1.295,1.5198,3.0,2.8459,767.88
Greedy,200,9882,0.5,1,3,5,222,1.11,1.1773,3.7143,2.7911,767.73
Greedy,200,9877,0.5,2,2,3,283,1.415,1.7565,2.25,3.1101,767.38
Greedy,200,9877,0.5,2,3,5,222,1.11,1.1803,4.1429,2.6959,767.24
BS,10,9,0.1,0,2,3,9,0.9,1.0,1.0,0.0005,19.38
BS,10,9,0.1,0,3,5,9,0.9,1.0,1.0,0.0005,18.13
BS,10,10,0.1,1,2,3,10,1.0,1.25,1.0,0.0004,18.19
BS,10,10,0.1,1,3,5,10,1.0,1.25,1.0,0.0005,17.8
BS,10,9,0.1,2,2,3,9,0.9,1.0,1.0,0.0004,18.27
BS,10,9,0.1,2,3,5,9,0.9,1.0,1.0,0.0004,17.09
BS,10,16,0.3,0,2,3,15,1.5,2.1852,1.2,0.0004,20.13
BS,10,16,0.3,0,3,5,13,1.3,1.7037,1.2,0.0005,19.2
BS,10,13,0.3,1,2,3,12,1.2,1.5806,1.2,0.0004,18.95
BS,10,13,0.3,1,3,5,12,1.2,1.5806,1.2,0.0005,17.33
BS,10,13,0.3,2,2,3,13,1.3,1.8333,1.0,0.0004,18.23
BS,10,13,0.3,2,3,5,12,1.2,1.6111,1.0,0.0005,18.2
BS,10,26,0.5,0,2,3,26,2.6,6.2308,1.0,0.0005,24.69
BS,10,26,0.5,0,3,5,23,2.3,5.2308,1.3,0.0006,21.95
BS,10,28,0.5,1,2,3,27,2.7,8.5333,1.0,0.0006,27.09
BS,10,28,0.5,1,3,5,25,2.5,7.3333,1.0,0.0006,22.51
BS,10,24,0.5,2,2,3,21,2.1,3.8,1.1667,0.0005,22.84
BS,10,24,0.5,2,3,5,17,1.7,2.7667,1.1667,0.0008,22.88
BS,20,22,0.1,0,2,3,22,1.1,1.3268,1.0,0.0007,34.01
BS,20,22,0.1,0,3,5,22,1.1,1.3268,1.0,0.0008,33.52
BS,20,23,0.1,1,2,3,23,1.15,1.3317,1.0,0.0007,33.13
BS,20,23,0.1,1,3,5,23,1.15,1.3317,1.0,0.0015,32.99
BS,20,24,0.1,2,2,3,24,1.2,1.4249,1.0,0.0007,34.02
BS,20,24,0.1,2,3,5,24,1.2,1.4249,1.0,0.0009,33.15
